Net ID#, Size, Fitness, Red-Green to Grey Ratio, Effective Total Benefits, Avg Degree
11,50,0.7764168745499864,0.5043544636334569,18.0,3.76
17,50,0.7754502661866483,0.48263675011715035,18.78,3.8
31,50,0.73966809686751,0.4760069576039418,18.5,3.8
1,50,0.7357532850962762,0.5242179306825224,16.68,3.72
14,50,0.722996674854324,0.4961517206765237,17.52,3.8
25,50,0.7181047145731836,0.47833634796763747,18.1,3.8
32,50,0.7152287225431926,0.5116469986000155,16.84,3.8
36,50,0.7122083824019267,0.4885622889372971,17.64,3.72
15,50,0.7110029046302189,0.4804234028785859,17.92,3.8
24,50,0.7099768686038924,0.48220159303244836,17.84,3.84
13,50,0.7048486710090206,0.4653858302752239,18.38,3.84
3,50,0.6943430982144013,0.5087773268186144,16.64,3.72
30,50,0.6938541349151275,0.5167866131494019,16.34,3.8
12,50,0.6934046969952625,0.4400316113411954,19.14,3.8
9,50,0.6916079369671464,0.49072919906648566,17.26,3.84
39,50,0.6744091873542604,0.48112712471220975,17.36,3.76
22,50,0.6248373626597822,0.46242768675218554,17.32,3.76
33,50,0.6173028970675967,0.45449656048579856,17.5,3.76
35,50,0.6062640360581888,0.45501160294678705,17.32,3.88
5,50,0.5090096916154544,0.40195805569257587,17.84,4.04
21,50,0.463013698630137,0.3628076722999512,18.6,3.96
8,50,0.2351750565871367,0.4567099637957521,11.84,3.2
24,50,0.9504038107028503,0.5629481405993709,21.64,3.92
9,50,0.930889717902794,0.5588641014428654,21.46,3.88
16,50,0.902694943216247,0.567386422347219,20.54,3.92
32,50,0.901938478199212,0.5648900458746364,20.64,3.96
30,50,0.8988688391039781,0.5610061103730539,20.76,3.92
11,50,0.8963893387274025,0.5713522161368625,20.24,3.92
10,50,0.8838110394954186,0.5679324314334362,20.16,3.96
4,50,0.8761571459654516,0.5813977943847735,19.4,3.92
23,50,0.8638297872340424,0.5833264531525973,19.08,3.92
17,50,0.8544816584037643,0.5480134353327908,20.52,3.92
34,50,0.8504155919360765,0.5673240945548153,19.56,4.0
37,50,0.8342059043399882,0.5619751168156035,19.5,3.92
19,50,0.8322398457528732,0.5283839443269038,21.0,3.88
31,50,0.8275881908089521,0.5251613167757739,21.06,3.96
38,50,0.8273596333386892,0.5635332024242645,19.3,3.92
1,50,0.8244184713586986,0.5544567203232059,19.66,3.88
6,50,0.8128267414898673,0.5632443075353499,19.04,3.92
27,50,0.8122129758740595,0.5529385602456172,19.5,3.92
35,50,0.8113261426471152,0.545143281604438,19.84,3.96
7,50,0.7942230643620991,0.5674023480074321,18.5,3.92
12,50,0.793345263865738,0.5198336504050928,20.66,3.96
20,50,0.7882232279662207,0.5286568675801294,20.16,3.88
14,50,0.787544556249564,0.5296893457621364,20.1,3.88
26,50,0.7747724271174208,0.5248785853610142,20.08,3.96
13,50,0.7638708226843612,0.5365724024533134,19.34,3.88
25,50,0.7626484331392722,0.5177114658049354,20.18,3.96
2,50,0.7473674377373495,0.5276058584006957,19.44,3.96
15,50,0.7414022196245139,0.5290888437884841,19.26,3.92
3,50,0.7312111767313733,0.5126623837261214,19.82,3.88
22,50,0.731101074328928,0.5148027009535712,19.72,3.96
28,50,0.7267238287899632,0.530051499568993,18.94,3.92
39,50,0.7153864716191245,0.49654380630841816,20.26,3.96
18,50,0.7132787372082798,0.5000488838342733,20.06,3.96
0,50,0.6979769657146571,0.52610785879524,18.58,4.0
29,50,0.6890986120111979,0.4988558681706297,19.66,3.92
33,50,0.6671041966665548,0.5033691516706701,19.04,3.96
36,50,0.6438595230033505,0.494692494867203,19.0,3.88
21,50,0.35015008144287346,0.3906220259741931,18.24,3.96
5,50,0.3297872340425532,0.3778841314539267,18.44,4.04
8,50,0.18548816416195826,0.4540983696400404,12.24,3.2
30,50,0.8556438156210194,0.7329173869702599,21.06,5.28
14,50,0.8279832441725863,0.722464109573159,20.72,3.68
39,50,0.8269232579167856,0.7479702480108231,19.94,3.68
32,50,0.8254465215846685,0.7177499794488479,20.8,3.64
13,50,0.8023850085178875,0.771069043024729,18.68,3.64
20,50,0.7801855053585384,0.6933376685178524,20.46,3.68
29,50,0.7755794281279962,0.7437293176959837,18.86,3.68
28,50,0.7753456792583542,0.7057125974166151,19.98,5.24
16,50,0.7668869331768586,0.7435908353789331,18.66,3.68
