Net ID#, Size, Fitness, Red-Green to Grey Ratio, Effective Total Benefits, Avg Degree
16,20,0.43436578171091433,5.089166666666666,4.8,2.4
12,20,0.42477876106194673,6.331666666666666,3.6,2.1
1,20,0.4007058575642646,5.1525,4.5,2.0
10,20,0.3929624947324062,5.420833333333333,4.2,2.1
3,20,0.38787048742800956,5.160833333333334,4.4,2.1
15,20,0.3873399654847189,5.321428571428571,4.25,2.3
14,20,0.3821024722573394,5.279999999999999,4.25,2.1
5,20,0.35374525916561306,4.945833333333333,4.35,2.5
8,20,0.3529551201011377,5.269166666666667,4.05,2.4
11,20,0.1578171091445427,4.879166666666666,3.0,2.4
0,20,0.1499157184997894,4.157500000000001,3.6,2.1
9,20,0.0,3.630833333333333,3.0,1.9
14,20,0.7502050452207838,6.279166666666667,4.85,3.2
12,20,0.6896252660046109,5.856666666666667,4.75,2.2
2,20,0.6510268886327365,6.375000000000001,4.15,2.3
10,20,0.5956300430040788,6.368333333333334,3.8,2.2
17,20,0.5951285134775669,6.804166666666665,3.5,2.2
18,20,0.5859375,7.158333333333333,3.2,2.3
1,20,0.5642511970207484,6.000000000000001,3.85,4.0
4,20,0.5511851059585032,4.775833333333333,4.6,3.2
5,20,0.5150925949383123,2.6010119047619047,5.85,3.3
3,20,0.5128610458414613,4.5625,4.5,2.2
15,20,0.5060211251995035,3.25,5.35,3.2
0,20,0.5000637302713247,4.6625,4.35,3.2
11,20,0.4780823284270261,3.7216666666666667,4.85,2.2
7,20,0.3869064772122717,5.0675,3.35,2.2
6,20,0.3818355663998177,3.0373809523809525,4.7,2.2
19,20,0.3288745234084058,2.833333333333333,4.5,3.2
13,20,0.30357499113317965,2.8158333333333334,4.35,2.3
8,20,0.22656249999999997,2.4591666666666665,4.1,3.2
16,20,0.20562449692309823,2.556082251082251,3.9,2.4
9,20,0.041946393737491455,2.853392857142857,2.65,1.9
12,20,0.6723476397797578,4.446666666666666,5.1,2.3
13,20,0.6038767687878038,3.9563095238095243,5.05,2.3
10,20,0.5860215053763441,4.736785714285714,3.95,2.4
3,20,0.5620479668421311,4.383333333333334,4.15,2.4
6,20,0.558125837235698,4.227500000000001,4.3,2.3
18,20,0.554924144160437,4.160833333333334,4.35,2.4
1,20,0.5443463704573028,1.1955433455433455,7.8,2.4
7,20,0.5395286427875061,3.874047619047618,4.55,2.7
17,20,0.5016946070532613,3.7889285714285705,4.3,2.3
11,20,0.3633611576001854,3.173452380952381,3.75,2.4
4,20,0.35740668543359355,1.2469047619047617,6.0,2.3
9,20,0.3200143988480921,3.3379761904761898,3.15,2.4
16,20,0.30247191755201797,2.6166666666666667,3.85,2.3
14,20,0.26859677893267137,1.016314935064935,5.45,2.3
2,20,0.26535782422238074,2.5371428571428574,3.6,2.3
19,20,0.24562309052837383,1.3391738816738816,4.85,2.4
5,20,0.24193548387096778,0.8508928571428571,5.4,2.4
15,20,0.22530828968136907,1.223075396825397,4.8,2.9
0,20,0.1642060810838633,0.9153373015873016,4.6,3.2
8,20,0.11504611046852202,0.8675468975468977,4.2,3.2
15,20,0.6955371766364771,3.301428571428571,6.05,2.9
1,20,0.6952757741743045,5.274166666666667,5.15,2.6
5,20,0.6734530072129724,2.949285714285714,6.1,2.9
16,20,0.6600000000000001,6.533333333333334,4.4,2.6
7,20,0.6446255219914312,3.181666666666667,5.85,2.9
